RC Number,RC Name,Category,Vendor Number,Vendor Name,Address 1,Address 2,City,State,Zipcode, Amount 
80,Athletics,7100,195353,#1 COCHRAN AUTOMOTIVE,4200 WILLIAM PENN HWY,318 OLD HAYMAKER RD,MONROEVILLE,PA,15146-0000,"  8,822.00 "
10,Senior Vice Chancellor and Provost,6000,505031,2MARKET INFORMATION INC,1992 WESTMINSTER WAY,,ATLANTA,GA,30307,"  1,881.00 "
03,Research Conduct and Compliance,7300,243145,3500 FIFTH AVENUE ASSOCIATES,C/O MEYERS MANAGEMENT CO,1823 PENN AVE,PITTSBURGH,PA,15221,"  219,890.00 "
23,Swanson School of Engineering,6400,136824,3D SYSTEMS INC,PO BOX 534963,,ATLANTA,GA,30353-4963,"  9,900.00 "
89,"Associate Vice Chancellor, Human Resources",6400,511326,3M COGENT INC,PO BOX 845552,,DALLAS,TX,75284-5552,"  17,457.00 "
41,Johnstown Campus,6400,511326,3M COGENT INC,PO BOX 845552,,DALLAS,TX,75284-5552,"  2,395.00 "
92,Business Operations,7400,100009,3M COMPANY,PO BOX 601095,,CHARLOTTE,NC,28260-1095,"  5,415.00 "
60,Libraries,7100,100009,3M COMPANY,PO BOX 601095,,CHARLOTTE,NC,28260-1095,"  1,160.00 "
31,School of Dental Medicine,7400,100009,3M COMPANY,PO BOX 601095,,CHARLOTTE,NC,28260-1095,"  13,354.00 "
31,School of Dental Medicine,6000,100011,3M UNITEK,PO BOX 601095,,CHARLOTTE,NC,28260-1095,"  21,722.00 "
31,School of Dental Medicine,7400,100011,3M UNITEK,PO BOX 601095,,CHARLOTTE,NC,28260-1095,"  17,361.00 "
42,Greensburg Campus,6400,376005,3RD MILLENNIUM CLASSROOMS,6507 GROVE CREEK DRIVE,,SAN ANTONIO,TX,78256,"  4,532.00 "
21,Katz Graduate School of Business,6400,551050,4H PRODUCTION SRO,LIBUSSKA 142 53,,,,414200,"  1,304.00 "
92,Business Operations,7400,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"  11,656.00 "
01,Chancellor,7400,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"  1,350.00 "
61,Computing Services & Systems Development,6000,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"  15,874.00 "
34,Graduate School of Public Health,6000,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"  1,503.00 "
42,Greensburg Campus,7400,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"  1,387.00 "
41,Johnstown Campus,6000,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"  5,358.00 "
06,Kenneth P. Dietrich School of Arts and Sciences,6000,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"  1,025.00 "
06,Kenneth P. Dietrich School of Arts and Sciences,6800,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"  1,836.00 "
31,School of Dental Medicine,6000,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"  1,646.00 "
35,School of Medicine,6000,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"  3,064.00 "
30,"Senior Vice Chancellor, Health Sciences",6800,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"  2,624.00 "
85,School of Medicine Division Administration,6400,547465,4TWELVE PICTURES LLC,5111 KEYSTONE ST,,PITTSBURGH,PA,15201,"  5,075.00 "
06,Kenneth P. Dietrich School of Arts and Sciences,6000,434217,4WALL ENTERTAINMENT INC,3325 WEST SUNSET ROAD,SUITE F,LAS VEGAS,NV,89118,"  3,260.00 "
06,Kenneth P. Dietrich School of Arts and Sciences,6000,565205,4WALL LAS VEGAS INC,"3165 WEST SUNSET RD, SUITE 100",,LAS VEGAS,NV,89118,"  3,260.00 "
44,Bradford Campus,7100,414925,6V EXCAVATION,716 SOUTH AVE,,BRADFORD,PA,16701,"  10,950.00 "
44,Bradford Campus,6000,490819,6V SALES AND SERVICE,170 SEAWARD AVE,,BRADFORD,PA,16701,"  2,964.00 "
80,Athletics,6000,549671,8K LLC,1714 RIVERSIDE DRIVE,,TITUSVILLE,FL,32780,"  12,750.00 "
60,Libraries,6500,414632,A LINARDI/A RISSO,LINARDI Y RISSO,8424 N W 56TH STREET,MIAMI,FL,33166,"  5,939.00 "
92,Business Operations,7100,376027,A ROSS CONTRACTING,430 ISLE ROAD,,BUTLER,PA,16001,"  11,136.00 "
67,Facilities Management,6000,577842,A-1 CONCRETE LEVELING & FOUNDATION REPAI,850 WESTERN AVE FLOOR 2,,PITTSBURGH,PA,15233,"  1,500.00 "
51,University Center for International Studies,6000,360059,A-1 PASSPORT & VISA EXPRESS,1411 K STREET NW,SUITE 805,WASHINGTON,DC,20005,"  3,465.00 "
92,Business Operations,6400,561330,A519 CHOCOLATE,110 BRUNNER ROAD,,ZELIENOPLE,PA,16063,"  2,096.00 "
92,Business Operations,7400,561330,A519 CHOCOLATE,110 BRUNNER ROAD,,ZELIENOPLE,PA,16063,"  1,461.00 "
92,Business Operations,7400,122014,AAA ENGRAVING,3 STATION SQUARE DR EAST,,PITTSBURGH,PA,15219,"  12,692.00 "
01,Chancellor,7400,122014,AAA ENGRAVING,3 STATION SQUARE DR EAST,,PITTSBURGH,PA,15219,"  4,758.00 "
24,School of Law,6400,122014,AAA ENGRAVING,3 STATION SQUARE DR EAST,,PITTSBURGH,PA,15219,"  1,672.00 "
35,School of Medicine,6000,122014,AAA ENGRAVING,3 STATION SQUARE DR EAST,,PITTSBURGH,PA,15219,"  1,920.00 "
33,School of Pharmacy,6000,122014,AAA ENGRAVING,3 STATION SQUARE DR EAST,,PITTSBURGH,PA,15219,"  1,337.00 "
23,Swanson School of Engineering,6000,122014,AAA ENGRAVING,3 STATION SQUARE DR EAST,,PITTSBURGH,PA,15219,"  1,000.00 "
03,Research Conduct and Compliance,6900,211094,AAALAC INTERNATIONAL,5283 CORPORATE DRIVE,SUITE 203,FREDERICK,MD,21703-2879,"  9,640.00 "
33,School of Pharmacy,6400,100032,AAAS,POST OFFICE BOX 521,,ANNAPOLIS JUNCTION,MD,20701,"  1,575.00 "
